image_index,caption
0,"a single square, centred"
1,a circle in the middle of the frame
2,"a single square, centred"
3,a square in the middle of the frame
4,a small star on a pale background
5,a square in the middle of the frame
6,a star in the middle of the frame
7,one circle shape
8,a star in the middle of the frame
9,picture of a triangle
10,"a single square, centred"
11,picture of a square
12,a square in the middle of the frame
13,one triangle shape
14,"a single star, centred"
15,"a single square, centred"
16,"a single circle, centred"
17,a triangle in the middle of the frame
18,a small square on a pale background
19,"a single star, centred"
20,picture of a triangle
21,"a single star, centred"
22,one square shape
23,"a single triangle, centred"
24,one star shape
25,"a single star, centred"
26,a star in the middle of the frame
27,picture of a star
28,a small triangle on a pale background
29,a small circle on a pale background
30,a small square on a pale background
31,one square shape
32,a star in the middle of the frame
33,picture of a triangle
34,a small square on a pale background
35,"a single square, centred"
36,a small circle on a pale background
37,picture of a circle
38,one triangle shape
39,one star shape
40,one star shape
41,one triangle shape
42,a small star on a pale background
43,"a single square, centred"
44,picture of a circle
45,one square shape
46,a small square on a pale background
47,picture of a square
48,a square in the middle of the frame
49,a circle in the middle of the frame
50,picture of a triangle
51,a small circle on a pale background
52,a circle in the middle of the frame
53,a circle in the middle of the frame
54,picture of a circle
55,picture of a triangle
56,a small circle on a pale background
57,"a single star, centred"
58,picture of a star
59,one circle shape
60,a small circle on a pale background
61,a small star on a pale background
62,a small circle on a pale background
63,a square in the middle of the frame
64,"a single star, centred"
65,"a single square, centred"
66,"a single star, centred"
67,a small square on a pale background
68,a small star on a pale background
69,a square in the middle of the frame
70,one star shape
71,picture of a star
72,"a single star, centred"
73,a small star on a pale background
74,one triangle shape
75,"a single circle, centred"
76,a small circle on a pale background
77,one square shape
78,a star in the middle of the frame
79,"a single square, centred"
80,one square shape
81,one star shape
82,a small square on a pale background
83,a square in the middle of the frame
84,a square in the middle of the frame
85,a small square on a pale background
86,picture of a triangle
87,picture of a circle
88,a small square on a pale background
89,a small triangle on a pale background
90,"a single triangle, centred"
91,a square in the middle of the frame
92,"a single square, centred"
93,a small square on a pale background
94,picture of a circle
95,"a single circle, centred"
96,a circle in the middle of the frame
97,a triangle in the middle of the frame
98,a small square on a pale background
99,"a single star, centred"
100,a star in the middle of the frame
101,one star shape
102,picture of a triangle
103,a triangle in the middle of the frame
104,a small star on a pale background
105,a triangle in the middle of the frame
106,one triangle shape
107,"a single triangle, centred"
108,one square shape
109,"a single circle, centred"
110,"a single square, centred"
111,a small triangle on a pale background
112,"a single star, centred"
